
Buque  ; marea  ; lan ; fecha ; latitud ; longitud
GEMINIS              ;   3 ;  95 ; 06/02/2023  ;         -47,1183 ;         -61,8717 ; X
GEMINIS              ;   3 ;  96 ; 06/02/2023  ;         -47,1550 ;         -62,3350 ; X
GEMINIS              ;   3 ;  97 ; 07/02/2023  ;         -47,1700 ;         -62,7517 ; X
GEMINIS              ;   3 ;  98 ; 07/02/2023  ;         -47,1767 ;         -62,2067 ; X
GEMINIS              ;   3 ;  99 ; 07/02/2023  ;         -47,1867 ;         -62,5000 ; X
GEMINIS              ;   3 ;  100 ; 08/02/2023  ;         -47,3533 ;         -62,2850 ; X
GEMINIS              ;   3 ;  101 ; 08/02/2023  ;         -47,1533 ;         -62,1517 ; X
GEMINIS              ;   3 ;  102 ; 08/02/2023  ;         -47,1683 ;         -62,5367 ; X
GEMINIS              ;   3 ;  103 ; 08/02/2023  ;         -47,3033 ;         -62,3500 ; X
GEMINIS              ;   3 ;  104 ; 09/02/2023  ;         -47,4850 ;         -62,5167 ; X
GEMINIS              ;   3 ;  105 ; 09/02/2023  ;         -47,2200 ;         -62,2667 ; X
GEMINIS              ;   3 ;  106 ; 09/02/2023  ;         -47,4217 ;         -62,3517 ; X
GEMINIS              ;   3 ;  107 ; 09/02/2023  ;         -47,2883 ;         -62,2167 ; X
GEMINIS              ;   3 ;  108 ; 10/02/2023  ;         -46,7017 ;         -61,8700 ; X
GEMINIS              ;   3 ;  109 ; 10/02/2023  ;         -47,0533 ;         -61,8667 ; X
GEMINIS              ;   3 ;  110 ; 10/02/2023  ;         -47,1033 ;         -61,8333 ; X
GEMINIS              ;   3 ;  111 ; 11/02/2023  ;         -46,8183 ;         -61,8500 ; X
GEMINIS              ;   3 ;  112 ; 11/02/2023  ;         -47,1683 ;         -61,8833 ; X
GEMINIS              ;   3 ;  113 ; 11/02/2023  ;         -47,1700 ;         -62,2167 ; X
