"latitud","longitud"
-38,-54.1
-37.95,-54.07
-37.98,-54.07
-37.57,-53.55
-37.57,-53.56
-37.59,-53.59
-37.18,-53.58
-37.13,-53.6
-37.18,-53.62
-37.18,-53.63
-37.18,-53.65
-37.17,-53.67
-37.17,-53.68
-37.18,-53.65
-37.09,-53.43
-37.09,-53.42
-37.1,-53.39
-37.04,-53.38
-37.18,-53.65
-37.18,-53.62
-37.15,-53.5
-37.17,-53.4
-37.17,-53.67
-37.17,-53.68
-37.15,-53.72
-36.63,-53.35
-36.67,-53.27
-36.82,-53.3
-36.67,-53.33
-36.63,-53.35
-36.8,-53.37
-36.67,-53.38
-36.63,-53.4
-38.21,-54.45
-38.21,-54.47
-38.22,-54.45
-38.2,-54.49
-37.17,-53.63
-37.17,-53.67
-37.17,-53.68
-37.15,-53.48
-37.17,-53.68
-37.17,-53.58
-36.82,-53.3
-36.63,-53.35
-36.85,-53.5
-37.03,-53.65
-37.05,-53.63
-37.07,-53.62
-39.14,-55.03
-39.14,-55.04
-39.16,-55.02
-39.14,-55.06
-39.14,-55.07
-39.14,-55.1
-39.15,-55.12
-39.14,-55.14
-39.43,-54.77
-39.44,-54.76
-37.17,-53.67
-37.17,-53.68
-37.12,-53.47
-37.2,-53.45
-37.17,-53.68
-37.17,-53.67
-37.15,-53.65
-39.45,-54.74
-39.44,-54.76
-39.42,-54.77
-39.42,-54.77
-39.74,-54.94
-39.66,-54.9
-37.2,-53.45
-39.6,-54.86
-39.59,-54.87
-39.5,-54.64
-39.5,-54.66
-39.72,-54.94
-39.64,-54.91
-39.61,-54.84
-39.6,-54.87
-39.82,-54.87
-39.81,-54.86
-39.49,-54.69
-39.49,-54.7
-39.37,-54.62
-39.37,-54.63
-39.62,-54.82
-39.62,-54.8
-39.62,-54.79
-39.63,-54.78
-39.62,-54.75
-39.39,-54.6
-39.37,-54.6
-39.36,-54.62
-39.37,-54.61
-39.37,-54.63
-39.36,-54.64
-39.34,-54.66
-39.36,-54.62
-39.37,-54.66
-39.34,-54.66
-39.84,-55.16
-39.82,-55.18
-39.82,-55.19
-39.8,-55.21
-39.8,-55.21
-39.84,-55.14
-39.82,-55.19
-39.79,-55.22
-39.77,-55.25
-39.76,-55.26
-39.74,-55.27
-39.72,-55.29
-39.6,-54.9
-39.64,-54.92
-39.92,-55.18
-39.92,-55.17
-39.88,-55.15
-39.36,-54.64
-39.37,-54.62
-39.37,-54.62
-39.38,-54.61
-39.39,-54.61
-38.8,-54.09
-38.95,-54.19
-38.87,-54.12
-38.82,-54.12
-38.79,-54.07
-39.62,-54.92
-39.57,-54.89
-39.56,-54.89
-39.12,-54.3
-39.18,-54.37
-39.38,-54.52
-39.3,-54.48
-39.3,-54.48
-39.37,-54.63
-39.47,-54.81
-39.46,-54.82
-36.63,-53.38
-36.63,-53.37
-36.63,-53.33
-36.7,-53.3
-36.82,-53.32
-36.82,-53.3
-36.53,-52.97
-36.38,-52.85
-36.42,-52.88
-36.35,-52.78
-36.53,-52.98
-36.38,-52.87
-36.32,-52.78
-36.57,-52.95
-36.56,-52.97
-36.38,-52.85
-36.53,-52.98
-36.32,-52.78
-36.53,-52.97
-36.53,-52.98
-36.32,-52.77
-36.6,-52.95
-36.58,-52.97
-36.82,-53.32
-36.9,-53.4
-36.97,-53.54
-36.98,-53.33
-37.22,-53.45
-37.22,-53.53
-37.2,-53.58
-36.53,-52.98
-36.53,-52.97
-36.4,-52.85
-36.4,-52.83
-37.62,-53.68
-37.58,-53.6
-37.62,-53.7
-37.75,-53.67
-39.38,-54.73
-39.33,-54.62
-39.43,-54.82
-39.37,-54.77
-39.43,-54.83
-39.45,-54.83
-39.47,-54.82
-39.48,-54.85
-37.87,-54.3
-37.83,-54.22
-37.87,-54.2
-37.88,-54.2
-37.9,-54.18
-37.88,-54.2
-37.87,-54.22
-38,-54.1
-37.9,-54.2
-37.88,-54.2
-37.9,-54.18
-37.02,-54.1
-38.02,-54.08
-38,-54.12
-38,-54
-36.53,-52.97
-36.53,-52.98
-36.4,-52.85
-37.85,-53.78
-37.87,-53.8
-37.87,-54.05
-37.9,-54.18
-37.88,-54.18
-37.9,-54.18
-37.98,-54.1
-37.98,-54.07
-39.47,-54.82
-39.42,-54.76
-39.33,-54.91
-39.38,-54.62
-39.37,-54.63
-36.4,-52.85
-36.32,-52.77
-36.56,-53
-36.54,-53.04
-37.97,-54.08
-39.39,-54.51
-39.49,-54.67
-39.48,-54.79
-39.46,-54.8
-39.4,-54.54
-39.49,-54.66
-39.52,-54.67
-39.48,-54.77
-39.16,-54.29
-39.14,-54.31
-39.4,-54.5
-39.49,-54.7
-39.51,-54.64
-39.38,-54.52
-39.33,-54.46
-39.39,-54.5
-39.38,-54.6
-39.37,-54.63
-39.51,-54.62
-39.49,-54.64
-39.32,-54.47
-39.38,-54.5
-39.37,-54.63
-39.35,-54.48
-39.49,-54.71
-38.85,-54.13
-38.82,-54.1
-39.89,-55.17
-39.85,-55.17
-39.85,-55.07
-39.62,-54.78
-39.42,-54.77
-39.42,-54.77
-39.4,-54.8
-39.4,-54.82
-39.38,-54.82
-39.37,-54.82
-39.35,-54.83
-39.35,-54.85
-39.32,-54.83
-39.32,-54.87
-39.32,-54.92
-39.4,-54.8
-39.4,-54.82
-39.48,-54.75
-39.5,-54.68
-39.52,-54.67
-39.5,-54.7
-39.5,-54.75
-39.87,-55.07
-39.87,-55.1
-39.9,-55.18
-39.9,-55.15
-39.88,-55.12
-39.87,-55.05
-39.87,-55.12
-39.83,-55.2
-39.65,-55.33
-39.72,-55.3
-39.75,-55.28
-39.62,-55.37
-39.63,-55.37
-39.65,-55.37
-39.67,-55.3
-39.67,-55.35
-39.65,-55.3
-37.93,-54.08
-37.85,-54.12
-37.83,-54.08
-37.93,-54.08
-37.9,-54.2
-37.85,-54.17
-37.93,-54.03
-37.93,-54.05
-36.52,-52.97
-36.37,-52.83
-36.28,-52.75
-37.85,-54.12
-37.83,-54.13
-37.93,-54.07
-37.85,-54.12
-37.87,-54.1
-37.82,-54.02
-37.93,-54.07
-37.87,-54.12
-37.88,-54.1
-37.87,-54.02
