Buque  , marea  , lan , fecha , latitud , longitud
FEDERICO C           ,  156 ,  109 , 28/09/2025  ,         -45.5167 ,         -63.6383 , X
FEDERICO C           ,  156 ,  110 , 28/09/2025  ,         -45.4467 ,         -63.6333 , X
FEDERICO C           ,  156 ,  111 , 28/09/2025  ,         -45.5333 ,         -63.6533 , X
FEDERICO C           ,  156 ,  112 , 28/09/2025  ,         -45.4833 ,         -63.6533 , X
FEDERICO C           ,  156 ,  113 , 28/09/2025  ,         -45.5233 ,         -63.6800 , X
FEDERICO C           ,  156 ,  114 , 30/09/2025  ,         -45.2233 ,         -63.8533 , X
FEDERICO C           ,  156 ,  115 , 30/09/2025  ,         -45.2967 ,         -63.7917 , X
FEDERICO C           ,  156 ,  116 , 30/09/2025  ,         -45.3533 ,         -63.7100 , X
FEDERICO C           ,  156 ,  117 , 30/09/2025  ,         -45.4400 ,         -63.6967 , X
FEDERICO C           ,  156 ,  118 , 30/09/2025  ,         -45.5017 ,         -63.7150 , X
FEDERICO C           ,  156 ,  119 , 30/09/2025  ,         -45.4217 ,         -63.7600 , X
FEDERICO C           ,  156 ,  120 , 01/10/2025  ,         -45.4033 ,         -63.7917 , X
FEDERICO C           ,  156 ,  121 , 01/10/2025  ,         -45.4833 ,         -63.7883 , X
FEDERICO C           ,  156 ,  122 , 01/10/2025  ,         -45.4033 ,         -63.8350 , X
FEDERICO C           ,  156 ,  123 , 01/10/2025  ,         -45.4883 ,         -63.8500 , X
FEDERICO C           ,  156 ,  124 , 01/10/2025  ,         -45.3983 ,         -63.8717 , X
FEDERICO C           ,  156 ,  125 , 01/10/2025  ,         -45.5000 ,         -63.8000 , X
FEDERICO C           ,  156 ,  126 , 03/10/2025  ,         -41.2833 ,         -60.9667 , X
FEDERICO C           ,  156 ,  127 , 03/10/2025  ,         -41.2500 ,         -60.9467 , X
FEDERICO C           ,  156 ,  128 , 03/10/2025  ,         -41.3133 ,         -61.1800 , X
FEDERICO C           ,  156 ,  129 , 03/10/2025  ,         -41.3250 ,         -61.1667 , X
FEDERICO C           ,  156 ,  130 , 03/10/2025  ,         -41.2617 ,         -61.1667 , X
FEDERICO C           ,  156 ,  131 , 03/10/2025  ,         -41.3033 ,         -61.1067 , X
FEDERICO C           ,  156 ,  132 , 03/10/2025  ,         -41.3300 ,         -61.0367 , X
FEDERICO C           ,  156 ,  133 , 04/10/2025  ,         -41.3850 ,         -61.1950 , X
FEDERICO C           ,  156 ,  134 , 04/10/2025  ,         -41.4583 ,         -61.2350 , X
FEDERICO C           ,  156 ,  135 , 04/10/2025  ,         -41.4500 ,         -61.1367 , X
FEDERICO C           ,  156 ,  136 , 05/10/2025  ,         -41.9833 ,         -61.6333 , X
FEDERICO C           ,  156 ,  137 , 05/10/2025  ,         -41.4333 ,         -61.6367 , X
FEDERICO C           ,  156 ,  138 , 05/10/2025  ,         -41.2833 ,         -61.5250 , X
FEDERICO C           ,  156 ,  139 , 06/10/2025  ,         -41.4700 ,         -61.6033 , X
FEDERICO C           ,  156 ,  140 , 06/10/2025  ,         -41.4683 ,         -61.6550 , X
FEDERICO C           ,  156 ,  141 , 06/10/2025  ,         -41.4750 ,         -61.6467 , X
